DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;140;1418395,99
202309;2;AC;10045;BRADESCO;15;83829,79
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;81;246145,92
202309;2;AC;51884;INTER;4;12306,86
202309;2;AC;10069;ITAU;144;316331,72
202309;2;AC;30379;SANTANDER;232;1024530,13
202309;2;AC;51011;VOTORANTIM;16;63205,99
202309;2;AL;49906;BB;363;1913928,14
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;108;511735,61
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;312;693197,85
202309;2;AL;51884;INTER;35;134651,20
202309;2;AL;10069;ITAU;1357;2958332,86
202309;2;AL;30379;SANTANDER;1256;4855449,83
202309;2;AL;51011;VOTORANTIM;48;148710,10
202309;2;AM;49906;BB;307;2449508,28
202309;2;AM;10045;BRADESCO;369;2492521,54
202309;2;AM;49944;BTG PACTUAL;21;153686,00
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;218;438181,32
202309;2;AM;51884;INTER;22;74837,60
202309;2;AM;10069;ITAU;1307;3177249,70
202309;2;AM;30379;SANTANDER;2019;8371789,23
202309;2;AM;51011;VOTORANTIM;63;613296,71
202309;2;AP;49906;BB;223;2058233,10
202309;2;AP;10045;BRADESCO;18;187564,28
202309;2;AP;49944;BTG PACTUAL;7;36848,42
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;66;150355,33
202309;2;AP;51884;INTER;14;48998,53
202309;2;AP;10069;ITAU;204;470889,49
202309;2;AP;30379;SANTANDER;407;1472417,07
202309;2;AP;51011;VOTORANTIM;11;59548,56
202309;2;BA;49906;BB;1535;11128627,49
202309;2;BA;10045;BRADESCO;680;3678942,34
202309;2;BA;49944;BTG PACTUAL;76;355683,91
202309;2;BA;51626;CAIXA ECONÔMICA FEDERAL;1195;2069185,00
202309;2;BA;51884;INTER;129;557565,26
202309;2;BA;10069;ITAU;6907;15390910,55
202309;2;BA;30379;SANTANDER;8120;29227847,64
202309;2;BA;51011;VOTORANTIM;192;1307913,99
202309;2;CE;49906;BB;973;6978990,71
202309;2;CE;10045;BRADESCO;433;2999572,06
202309;2;CE;49944;BTG PACTUAL;42;177031,25
202309;2;CE;51626;CAIXA ECONÔMICA FEDERAL;710;1299168,26
202309;2;CE;51884;INTER;77;376253,75
202309;2;CE;10069;ITAU;4056;8991571,51
202309;2;CE;30379;SANTANDER;4300;17235541,52
202309;2;CE;51011;VOTORANTIM;160;798643,76
202309;2;DF;49906;BB;399;4219099,63
202309;2;DF;10045;BRADESCO;169;911548,15
202309;2;DF;49944;BTG PACTUAL;35;217515,46
202309;2;DF;51626;CAIXA ECONÔMICA FEDERAL;447;1052877,31
202309;2;DF;51884;INTER;59;365436,86
202309;2;DF;10069;ITAU;2256;6198897,81
202309;2;DF;30379;SANTANDER;2498;14424055,15
202309;2;DF;51011;VOTORANTIM;76;438952,88
202309;2;ES;49906;BB;292;1968526,87
202309;2;ES;10045;BRADESCO;152;1048216,27
202309;2;ES;49944;BTG PACTUAL;15;42593,50
202309;2;ES;51626;CAIXA ECONÔMICA FEDERAL;361;705873,54
